item_title,item_description,item_url,item_component,item_price,store
Campagnolo Bora Ultra WTO 60 Disc Brake Wheelset,"We are proud to announce the ultimate evolution of the recent Bora WTO range: Bora ULTRA WTO. The Ultra upgrade is disc brake and 2 way fit only and incorporates 360° improvements delivering reduced weight, faster rolling, higher reactivity, better handling alongside a new finish with new graphics that really makes Ultra stand out from the crowd. Our extraordinary new premium wheel series, the result of years of significant development and improvements; taken to a new level maximising their performance.

BORA ULTRA WTO 60 disc brake: born to offer that extra boost needed to dominate the finish line, no matter the type of race. A wheel that can transform the output of the most powerful rider into victories.
Wheel Developed in the Wind Tunnel: every wheel component, from the rim to the hub and the spokes, is designed to guarantee maximum aerodynamic penetration.
Rim Made Entirely of High Modulus Carbon: the unidirectional carbon rim delivers the readability and rigidity that Campagnolo is known for.
Cup-and-Cone Bearing System: easy to register balls/bearings - reduced possibility of ball/bearing play - precise cycling operations - steady performance levels.

ULTRA NIPPLES AERO MO-Mag™
Internal aero nipples with external tension adjustability.
Extremely clean look.
Quick and easy spoke maintenance, even with the the tyre fitted.
Keys included in the accessory bag

WEIGHT: 1515 g
DISCIPLINE: Road aero/performance
RIM DIAMETER: 700 c
BRAKING SYSTEM: Disc AFS
GRAPHICS: Water Transfer DCS (Dark, copper shaded)
FREEHUB COMPATIBILITY:N3W, XDR, HG, MicroSpline
RIM MATERIAL: UD high strength carbon fiber
PROFILE DEPTH: 60 mm
INNER WIDTH: 19 mm
EXTERNAL WIDTH: 26,1 mm
CAMPY PROFILE: 2 way fit (tubeless with no tape)
TYRE COMPATIBILITY: Tubeless, tubeless ready, clincher
TYRE DIMENSIONS: From 23mm up to 33 mm Aerodinamically optimized for 25mm
HUBS: F carbon, R aluminium alloy 36t oversized ractchet ring
BEARINGS: CULT ceramic
FRONT AXLE: 12 x 100 mm
REAR AXLE: 12 x 142 mm
SPOKES: 24, G3 pattern 1.5 double butted Aero elliptical section , straight pul
NIPPLES: Aluminium alloy , self lock , internal Aero Mo Mag system ™
WEIGHT LIMIT: 120 kg (rider + bike)",https://www.probikekit.com/bicycle-wheels/campagnolo-bora-ultra-wto-60-disc-brake-wheelset/13043468.html,SRAM XDR,$2773.49,pdk
Easton EC90 AX 700c Clincher Disc Wheel - Front 700c 12 x 100mm/15 x 100mm,"The EC90 AX disc wheelset joins our unbeatable line of AX components to expand your horizons. Utilizing our EC90 carbon, this rim's wider stance and light weight give you control on the ground during gravel descents, bikepacking adventures or cyclocross events. Optimized for 35c tires and larger, this tubeless ready wheelset has an impressive 24mm interior width for maximum coverage. Pair them with your upcoming adventure bike build and you can have the ultimate carbon setup for all the abuse you can dish.
For supreme durability, we laced our EC90 AX rims to our new Vault hub - designed to exceed your needs from tarmac to single track. Larger bearings on a wider bearing stance and improved seals help to push reliability to a new level. A reversed drive ring configuration gives 60 points of engagement at just 6-degrees for instant acceleration. Included in the box are tool-free swappable end-caps for all major axle standards and 5 extra straight-pull Sapim spokes (shipped with rear wheels) that match the uniform spoke length throughout both wheels. With center lock discs and easy tubeless ready setup, the EC90 AX wheelset is the perfect partner for your journey.

WHEEL WEIGHT 1470g
FINISH GLOSS CARBON / VINYL DECALS
TYPE TUBELESS READY CARBON CLINCHER
RIM MATERIAL EC90 CARBON
RIM DEPTH 21MM
INTERNAL RIM WIDTH 24MM
EXTERNAL RIM WIDTH 31MM
SPOKES SAPIM STRAIGHT-PULL DOUBLE BUTTED
SPOKE PATTERN 24 / 3X
BRAKING SURFACE DISC - CENTER LOCK ROTOR MOUNT
NIPPLE TYPE DT EXTERNAL ALLOY
FRONT HUB EASTON VAULT CENTER-LOCK 12X100 
ENGAGEMENT 60 POINT, 6°
BEARING TYPE SEALED CARTRIDGE BEARINGS",https://www.probikekit.com/bicycle-wheels/easton-ec90-ax-700c-clincher-disc-wheel-front-700c-12-x-100mm-15-x-100mm/12640426.html,No components found,$562.99,pdk
Reynolds ARX 29x Carbon Clincher Disc Wheelset,"The Reynolds AR29 X DB is a carbon road bike wheelset that proves that light weight and disc brakes can go hand in hand.
The ride quality is snappy due to its minimal 1455 grams, yet they feel solid through turns and during out of the saddle efforts because of the lateral strength of the 29.5 mm wide rim.
The generous 21mm tubeless ready rim channel mates nicely with a range of tire widths providing extra versatility.
Features:

Wide, Tubeless Ready rim provides better fit for higher volume tyres that increase grip, lower rolling resistance and provide greater comfort
Refined, wider rim shapes have been optimized for crosswind stability at a variety of yaw angles
Features Sapim CX-Sprint spokes with alloy nipples
Premium graphics offer ultra clean and subtle appearance
Equipped with fast rolling and smooth Reynolds Allroad hubs which offer 10° of hub engagement
Disc and rim brake specific models available
Fitted with tubeless tape, and supplied with tubeless valves.
Lifetime warranty

Specification:

Rim Material: Carbon Fibre.
Rim Size: 700c.
Rim Width: Internal 21mm, External 29.5mm.
Rim Depth: 30mm.
Hub: Reynolds TR6 - 10 degree engagement.
Spoke Count: 24 Front, 24 Rear.
Spokes: Sapim CX-Sprint bladed spokes.
Nipples: Alloy nipples.
Brake Interface: Disc Only, Centre Lock.
Front Axle Spacing: 12x100 & 15x100 (Included), QR 100 (Available Separately).
Rear Axle Spacing: 12x142 (Included), QR 135 & 12x135 (Available Separately).
Freehub: Shimano/SRAM 9-11spd, Campy or SRAM XD-R.
Weight: 1455g.",https://www.probikekit.com/bicycle-wheels/reynolds-arx-29x-carbon-clincher-disc-wheelset/11962511.html,Shimano/SRAM,$1031.49,pdk
Mavic Allroad Pro Carbon SL Disc Road+ Wheelset,"The Road+ carbon Allroad wheels have wider rims and a 650B diameter to help you tackle the roughest roads, pavé, gravel or dirt with speed, control and a dynamic ride quality.
Compatibility:

Front axle: 12mm thru axle, easily convertible to quick release with included adapters. Convertible to 15mm with complete axle replacement
Rear axle: 12mm thru axle, convertible to Quick Release with included adapters
Freewheel: Shimano/Sram, convertible to Campagnolo and XD-R with optional driver bodies.

Rims:

Internal width: 26 mm
Height: 28mm
ETRTO size: 584x26TSS Road
Use with Mavic Tubeless Tape
Hookless profile
Material: 100% Unidirectional carbon fiber
Drilling: traditional
UST tubeless technology
Disc brake specific profile
Valve hole diameter: 6.5 mm
Tyre: UST Tubeless and tubetype.

Hubs:

QRM Auto bearing preload technology
Front: Quick release, 12x100 and 15x100 through axle compatible
Rear: Quick Release, 12x142 and 12x135 compatible
Instant Drive 360 freewheel technology
Front and rear bodies: aluminium.
Axle material: aluminium.

Weight:

Pair without tyre: 1550 grams
Front without tyre: 725 grams
Rear without tyre: 825 grams.

Intended Use:

Max. Pressure: see indication on wheel and tyre. If they differ, use the lowest of the 2
For a longer longevity of the wheel, it is recommended that the total weight supported by the wheels doesn't exceed 120kg, bike included
ASTM Category 2: road and offroad with jumps less than 15cm
Recommended tyre sizes: 28 to 64 mm (1.1"" to 2.5"")",https://www.probikekit.com/bicycle-wheels/mavic-allroad-pro-carbon-sl-disc-road-wheelset/12904317.html,Shimano/SRAM,$1140.99,pdk
Zipp 404 Firecrest Carbon Tubeless Disc Brake Front Wheel,"Zipp’s 404 Firecrest Tubeless Disc-brake is the icon of speed with three decades of use.
The 404’s heritage as Zipp’s icon of speed extends back decades, and its future is even brighter. At 58mm deep, the 404 Firecrest Tubeless is ideal for road races, time trial and triathlon, and gran fondos. The wheelset’s 23mm internal width is perfect for running wider tubeless tires at reduced air pressure.
That is a vital component of Total System Efficiency, or TSE, an approach to speed on ever-changing roads and riding conditions. Specifically, TSE focuses on overcoming specific barriers to speed: wind resistance, gravity, rolling resistance, and vibration losses.
Zipp’s ABLC Sawtooth Technology uses an intricate dimpling pattern to improve aero efficiency. Zipp’s use of hookless (straight side) rims in the 404 Firecrest is integral to Making You Faster. With hookless, the transition between the tire and the rim is more seamless and aero. Zipp’s hookless rims have more efficient resin distribution, which means lighter, stronger wheels.
Outdoor testing commissioned by Zipp revealed the real-world gains of Zipp TSE. A bike- and-rider system weighing 85kg (187lbs) on the new 404 Firecrest with 25mm tires required 286 watts to maintain a speed of 40kph. That’s a 4-watt savings compared with the previous model 404 Firecrest.
At the center of the 404 Firecrest Tubeless Disc-brake is a versatile and durable hubset, the German-engineered ZR1 DB. If you had to choose just one wheel for road riding and racing, the 404 Firecrest Tubeless Disc brake is a savvy and speedy choice.
Technology:

Total System Efficiency
ABLC Dimples

Features:

Versatile race wheelset for the modern road race bike with tubeless and hookless rim profile
Optimized tire bed for easy tire installation
Wide 23mm rim profile creates a better tire interface to be fast on or off the road
New ZR1 DB hub is engineered in Germany with better seal design for improved durability and quicker response with 66 points of engagement
Ships with 12mm front and rear end caps
Center locking rotor interface. Lockring is included with the wheels
XDR or SRAM/Shimano driver bodies
Campagnolo driver body sold separately
The 404 Firecrest Tubeless Disc-brake is about 370 grams lighter than its predecessor
1450g wheelset*
Front 660g Rear 790g
Lifetime Warranty

*Lightest configuration: 12mm through axles and XDR body. No tape or valve included in weight",https://www.probikekit.com/bicycle-wheels/zipp-404-firecrest-carbon-tubeless-disc-brake-front-wheel/12953726.html,No components found,$761.49,pdk
Kinesis Centrelock 15/20mm Lock Ring,"Centrelock adaptors allow you to run a 6 bolt rotor on a centrelock hub. This version is suited best for hubs with 15mm or 20mm Thru Axles, though you may need this version for hubs with QR or 12mm Thru Axles if they use larger end caps (newer Kinesis Crosslight wheels). It is tightened using an external BB cup tool.",https://www.probikekit.com/cycling-accessories/kinesis-centrelock-15-20mm-lock-ring/11411492.html,No components found,$4.49,pdk
Zipp 303 Firecrest Carbon Tubular Front Wheel,"Zipp’s 303 Firecrest Carbon Clincher is an all-around wheelset in every way. It’s rich in heritage yet loaded with innovations. It’s as adept in the mountains as it is on rolling hills, windswept farm lanes, or ferocious field sprints.
At Zipp, we never rest on laurels. Our engineers can’t sit still long enough to – they’re too busy innovating. Think lighter weight. Think greater speed and control. Think increased stopping power. One of our all-time best-selling wheelsets, the 303 Firecrest Carbon Clincher offers dramatic improvements over its predecessors:
More Speed: Revised rim profile for reduced aerodynamic drag developed by our advanced development team in Indianapolis, Indiana, USA.
Greater AeroBalance™: ABLC™ Sawtooth™ Technology, a complex dimpling pattern first developed for our top-level NSW wheel lineup. This technology helps to achieve the optimization of low aerodynamic drag and crosswind stability, which we call AeroBalance.
Better braking: Zipp’s ShowStopper™ textured braking surface delivers unrivalled rim braking performance in wet or dry conditions.
Lighter Weight: The 303 Firecrest Carbon Clincher is 145 grams lighter than its previous iteration.",https://www.probikekit.com/bicycle-wheels/zipp-303-firecrest-carbon-tubular-front-wheel/12509885.html,No components found,$745.49,pdk
CushCore Tyre Insert - Single,"The original full-performance version. CushCore allows you to push the limits of your tyres and suspension to new levels. The best choice for the majority of wheels, terrain, and riders.
How it works:
Not all tyre inserts are created the same.
CushCore is no ordinary tyre insert and is based on a new concept, tyre suspension. Any suspension system has a spring and a damper, and with CushCore, pressurised air in the tyre is the spring and the CushCore tyre insert is the damper.
Like traditional suspension, a constant damping force wouldn't work. It has to be dynamic. Suspension should be supple on small bumps but firm on the big hits.
CushCore responds differently depending on the tyre load and scenario. The more the tyre flexes, the more damping it provides.

Go Bigger - CushCore improves suspension performance by 16% and reduces impact force from big hits by 50%. Send it with total confidence.
Corner Harder - 35% more sidewall stability eliminates tyre squirm and burping, even at low tyre pressure. Rail corners with total confidence.
Ride Faster - CushCore provides a 12% smoother ride and 3% reduced rolling resistance. Ride with more control, more momentum, and less fatigue. It's like taking fewer punches in a fight.

Includes:

(1) CushCore tyre insert,
(1) 44mm CushCore green presta air valve,
Rim stickers.

Sizing:






Cushcore Option
Tyre Size
Tyre Width
Internal Rim Width
Weight




27.5"" Pro
27.5""
2.1""-2.6""
22-35mm
250g




27.5"" Pro Plus
27.5""
2.6""-3.0""
32-45mm
290g




XC 27.5""
27.5""
1.8""-2.48""
22-32mm
140g




29"" Pro
29""
2.1""-2.6""
22-35mm
260g




29"" Pro Plus
29""
2.6""-3.0""
32-45mm
330g


XC 29""
29""
1.8""-2.48""
22-32mm
150g


Gravel/CX
700c
33-46mm
19-26mm
120g",https://www.probikekit.com/bicycle-tyre-tubular-accessories/cushcore-tyre-insert-single/12855628.html,"27.5"" Plus",$73.49,pdk
Prime Doyenne 50 Carbon Rim Brake Wheelset,"Whether you’re road racing on the flat or competing in a time trial (TT) or triathlon (Tri) event, the Prime Doyenne 50 Carbon Rim Brake Wheelset comes equipped with a carbon fibre build and a range of performance-enhancing technologies.
This wheelset features an ultra-stiff carbon fibre construction, which makes it strong enough for road racing as well as training. Coming equipped with a revised wider rim profile, this race-ready wheelset delivers increased aerodynamics, comfort, speed and traction when you need it most. Prime has also ensured that its rim profile is deep enough for time trails and crits, so you can enjoy its versatile performance whatever your discipline.
Developed with Team Spectra
Developed with Team Spectra, the Prime Doyenne 50 Carbon Rim Brake Wheelset is fine-tuned for wherever your ride takes you. Combining SR2D, 36T Ratchet System, CNC machined 6061 alloy hubs with J-Bend Pillar PDB1415 spokes, it delivers an exceptional balance of strength and durability on every mile. It also uses Star Ratchet hubs to ensure superior reliability due to each of the ratchets engaging simultaneously every time.
Easy Maintenance and Tubeless Ready
Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. You’ll also benefit from tool-free freehub conversion for straightforward upgrades and preservation in the future.
Coming complete with tubeless ready technology, the Prime Doyenne 50 Carbon Rim Brake Wheelset allows you to enjoy tubeless advantages such as the ability to run lower tyre pressures for increased traction, comfort and fewer chances of flats or punctures. This makes it a perfect upgrade for giving your road, time trial or triathlon ride a performance boost.
In The Box:
Tubeless Valves
QR Skewers
10 speed spacer
Prime Carbon Brake Pads
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed
SR2 Front Axle Silver QR
SR2 Front End Caps Black QR
SR2 Rear Axle Silver QR
SR2 Rear End Caps Black QR",https://www.wiggle.com//p/prime-doyenne-50-carbon-rim-brake-wheelset,Shimano/SRAM HG,£349.99,wiggle
Prime Doyenne 56 Carbon Disc Wheelset,"Ideal for flat road racing/riding as well as time trial (TT) and triathlon (Tri) disciplines, the Prime Doyenne 56 Carbon Disc Wheelset is feature-packed with technologies to upgrade the performance of your ride.
Whether you’re clocking up the miles with your local road club or competing in a TT or Tri event, this versatile wheelset is developed for reliable performance. It features two high-quality T700 unidirectional (UD) carbon fibre rims, which allow it to deliver the best balance of stiffness and durability, while also keeping weight impressively low. Prime has also kitted out this version with a 56mm rim depth that offers smooth rolling properties with increased aerodynamics as you cut through the wind.
Developed with Team Spectra
Developed with Team Spectra, the Prime Doyenne 56 Carbon Disc Wheelset has been put through the brand’s CFD testing process, where multiple sizes and shapes are trialled before coming up with the perfect blend of strength, weight and aerodynamics. As a result, you’ll benefit from Prime’s final product that you can trust and rely on thanks to its road testing by professional riders.
Combining SR2D, 36T Ratchet System, CNC machined 6061 alloy hubs with J-Bend Pillar PDB1415 spokes, this race-ready wheelset is all set for wherever your next ride takes you. It also uses Star Ratchet hubs to ensure superior reliability due to each of the ratchets engaging simultaneously every time.
Easy Maintenance and Tubeless Ready
Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. You’ll also benefit from tool-free freehub conversion for straightforward upgrades and preservation in the future.
Coming complete with tubeless ready technology, the Prime Doyenne 56 Carbon Disc Wheelset allows you to enjoy tubeless advantages such as the ability to run lower tyre pressures for increased traction, comfort and fewer chances of flats or punctures. This makes it a perfect upgrade for giving your ride a performance boost.
In The Box:
Tubeless Valves
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR2D 12mm Front End Caps Black 12mm
SR2D 12mm Rear End Caps Black 12mm
SR2D 15mm Front End Caps Black 15mm
SR2D QR Front End Caps Black QR
SR2D QR Rear End Caps Black QR
SR2D Disc Brake Rear Hub Grey 12 x 142mm
SR2D Front Axle Silver 12 x 135mm
SR2D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-doyenne-56-carbon-disc-wheelset,Shimano/SRAM HG,£399.99,wiggle
Prime Doyenne 44 Carbon Disc Wheelset,"Ideal for races with rolling terrain and riding fast gravel routes, the Prime Doyenne 44 Carbon Disc Wheelset features a carbon fibre build with a 44mm rim depth and tubeless ready technology.
This versatile wheelset is feature-packed with technologies to upgrade the performance of your ride. It features two high-quality T700 unidirectional (UD) carbon fibre rims, which allow it to deliver the best balance of stiffness and durability, while also keeping the weight impressively low. Prime has also kitted out this version with a 44mm rim depth that offers smooth rolling properties with increased aerodynamics as you cut through the wind. It is a perfect companion for handling the demands of rolly races/riding and fast gravel.
Developed with Team Spectra
Developed with Team Spectra, the Prime Doyenne 44 Carbon Disc Wheelset has been put through the brand’s CFD testing process, where multiple sizes and shapes are trialled before coming up with the perfect blend of strength, weight and aerodynamics. As a result, you’ll benefit from Prime’s final product that you can trust and rely on thanks to its road testing by professional riders.
Combining SR2D, 36T Ratchet System, CNC machined 6061 alloy hubs with J-Bend Pillar PDB1415 spokes, this race-ready wheelset is all set for wherever your next ride takes you. It also uses Star Ratchet hubs to ensure superior reliability due to each of the ratchets engaging simultaneously every time.
Easy Maintenance and Tubeless Ready
Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. You’ll also benefit from tool-free freehub conversion for straightforward upgrades and preservation in the future.
Coming complete with tubeless ready technology, the Prime Doyenne 44 Carbon Disc Wheelset allows you to enjoy tubeless advantages such as the ability to run lower tyre pressures for increased traction, comfort and fewer chances of flats or punctures. This makes it a perfect upgrade for giving your ride a performance boost.
In The Box:
Tubeless Valves
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR2D 12mm Front End Caps Black 12mm
SR2D 12mm Rear End Caps Black 12mm
SR2D 15mm Front End Caps Black 15mm
SR2D QR Front End Caps Black QR
SR2D QR Rear End Caps Black QR
SR2D Disc Brake Rear Hub Grey 12 x 142mm
SR2D Front Axle Silver 12 x 135mm
SR2D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed
Prime Lifetime Crash Replacement Programme
At Prime we understand that a crash or unexpected accident may occur under normal riding conditions. If in the event of a fall or accident where your Prime product sustains damage beyond repair, you can return the damaged component in exchange for a new product at 40% off the RRP.",https://www.wiggle.com//p/prime-doyenne-44-carbon-disc-wheelset,Shimano/SRAM HG,£419.99,wiggle
Fulcrum Wind 40 Disc Wheelset,"Built to send you on climbs, sprints and descents with unrivalled speed and stability, the carbon fibre Fulcrum Wind 40 road bike wheels give a rigid and responsive performance as you hit high speeds. Giving optimum crosswind stability from the 40mm rim depth and a superb surface contact area from their 27mm width, an assured and balanced feel is achieved on every ride.
Strong and Efficient Carbon-Fibre Road Wheels
Supported by a set of robust and reliable aluminium hubs, the Fulcrum Wind 40 Disc Wheelset benefits from a double butted stainless-steel spoke setup. The hubs also come with sealed cartridge bearings for minimised friction on the most challenging runs. With Two-Way Fit tubeless-ready compatibility improving cornering grip and puncture protection and disc brake optimisation for superior stopping power, this Wind 40 wheelset is a deep-rimmed and dynamic choice for hitting the road.",https://www.wiggle.com//p/fulcrum-wind-40-disc-wheelset,"Shimano/SRAM HG, SRAM XDR","£649.99 - £1,034.99",wiggle
Prime Doyenne 38 Carbon Rim Brake Wheelset,"Classed as a perfect all-rounder, the Prime Doyenne 38 Carbon Rim Brake Wheelset boasts a carbon fibre rim construction with tubeless ready technology and rim brake compatibility. As a result, it offers superb aerodynamics as well as incredible strength.
Engineered for the demands of modern road racing and riding, this versatile wheelset features a high-quality T700 unidirectional (UD) carbon fibre rim build. Its stiff and lightweight construction combined with 38mm rim depth, means that you’ll benefit from a superior strength to weight ratio as well as increased aerodynamics as you cut through the wind.
Developed with Team Spectra and Star Ratchet Hubs
Developed with Team Spectra, this wheelset comes equipped with a range of performance-enhancing technologies to help you perform at your best and upgrade your ride. Prime has used an SR2, 36T Ratchet System, CNC machined 6061 alloy hub body, so you can enjoy greater reliability due to each of the ratchets engaging simultaneously every time. Its incorporated notch also means that the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. Due to this easy to use system, tool-free freehub conversion is possible should you choose to make changes to your setup in the future.
Rim Brake Compatible and Tubeless Ready
This road bike wheelset features rim brake compatibility, which keeps its weight reduced while also boosting its aerodynamic profile. Prime has also given it a tubeless ready design, so you can run tubeless tyres and enjoy performance advantages such as lower rolling resistance, increased traction and fewer risks of punctures. Coming complete with J-Bend Pillar PDB1415 spokes, the Prime Doyenne 38 Carbon Rim Brake Wheelset is an ideal choice of upgrade for conquering every mile of road.
In The Box:
Tubeless Valves
QR Skewers
10 speed spacer
Prime Carbon Brake Pads
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed
SR2 Front Axle Silver QR
SR2 Front End Caps Black QR
SR2 Rear Axle Silver QR
SR2 Rear End Caps Black QR",https://www.wiggle.com//p/prime-doyenne-38-carbon-rim-brake-wheelset,Shimano/SRAM HG,£399.99,wiggle
Prime Primavera 56 Carbon Disc Wheelset,"Developed with Team Spectra in search of the marginal gains that could help them in some of the UK’s biggest races, this wheelset is designed for flat road races as well as time trial and triathlon racing. Featuring a stiff and lightweight T800 UD carbon fibre rim construction, this model provides an excellent strength-to-weight ratio to give you maximum smoothness without adding any unnecessary excess grams to your ride. Prime has also put this version through its CFD testing process, where multiple sizes and shapes were used before coming up with the perfect blend of strength, weight and aerodynamics.
Greater Strength To Weight Ratio
Built-up using an SR1D, CNC machined 6061 alloy hub body and DT Swiss straight pull spokes, the Prime Primavera 56 Carbon Disc Wheelset creates a stiffer wheel with a greater strength to weight ratio and more reactivity. Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. Its Star Ratchet hub also provides superior reliability, due to each of the ratchets engaging simultaneously every time. Prime has also ensured that tool free freehub conversion is possible.
Tubeless Ready Carbon Wheelset
Developed to give modern riders and racers a much-needed performance upgrade, this wheelset comes kitted out with tubeless ready technology. This means that you can choose to run it tubeless and enjoy advantages such as the ability to run lower tyre pressures for increased stability, comfort and fewer chances of flats or punctures.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
SR1D 12mm Front End Caps Black 12mm
SR1D 15mm Front End Caps Black 15mm
SR1D Front Axle Silver 12 x 135mm
SR1D QR Front End Caps Black QR
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1D 12mm Rear End Caps Black 12mm
SR1D QR Rear End Caps Black QR
SR1D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-primavera-56-carbon-disc-wheelset,Shimano/SRAM HG,£649.99,wiggle
Prime Primavera 85 Carbon Rim Brake Rr Wheel,"Wider = Improved Performance
Developed with Team Spectra, this race-ready rear wheel features an 85mm deep aero rim profile, meaning you get more speed for the same effort. A wider rim profile creates a more linear contour with the tyre to increase the Primavera 85’s aerodynamic properties.
Greater Strength To Weight Ratio
Built up using a SR1, 36T Ratchet System, CNC machined 6061 alloy hub and DT Swiss straight pull spokes, this model creates a stiffer wheel with a greater strength to weight ratio and more reactivity. Its Star Ratchet hub also provides superior reliability, due to each of the ratchets engaging simultaneously every time. Prime has also ensured that tool free freehub conversion is possible. Coming kitted out with an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier.
Aero Advantage
If you’re looking for an advantage in your next TT or Triathlon event, the Prime Primavera 85 Carbon rear wheel is a perfect choice of upgrade to improve your ride.
Lightweight Rim
Prime has experimented with numerous types of resin and tested countless new lay ups before they settled on the new and improved Primavera 85 rim. But that’s not all, they’ve upgraded to a higher grade of carbon, saving precious grams, and improving on the impact strength/weight ratio making the new Primavera 85 their best rim yet.
In The Box:
x4 spare spokes and nipples
Tubeless Valves
QR skewers
10 speed spacer
Prime Carbon brake pads
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1 Rear Axle Silver QR
SR1 Rear End Caps Black QR
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-primavera-85-carbon-rim-brake-rr-wheel,Shimano/SRAM HG,£349.99,wiggle
