item_title,item_description,item_url,item_component,item_price,store
Prime Primavera 44 Carbon Disc Wheelset,"Developed with Team Spectra in search of the marginal gains that could help them in some of the UK’s biggest races, this wheelset is designed for rolly races and riding as well as fast gravel. Featuring a stiff and lightweight T800 UD carbon fibre rim construction, this model provides an excellent strength-to-weight ratio to give you maximum smoothness without adding any unnecessary excess grams to your ride. Prime has also put this version through its CFD testing process, where multiple sizes and shapes were used before coming up with the perfect blend of strength, weight and aerodynamics.
Greater Strength To Weight Ratio
Built-up using an SR1D, CNC machined 6061 alloy hub body and DT Swiss straight pull spokes, the Prime Primavera 44 Carbon Disc Wheelset creates a stiffer wheel with a greater strength to weight ratio and more reactivity. Its Star Ratchet hub also provides superior reliability, due to each of the ratchets engaging simultaneously every time. Prime has also ensured that tool free freehub conversion is possible. Coming kitted out with an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier.
Tubeless Ready Carbon Wheelset
Developed to give modern riders and racers a much-needed performance upgrade, this wheelset comes kitted out with tubeless ready technology. This means that you can choose to run it tubeless and enjoy advantages such as the ability to run lower tyre pressures for increased stability, comfort and fewer chances of flats or punctures.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
SR1D 12mm Front End Caps Black 12mm
SR1D 15mm Front End Caps Black 15mm
SR1D Front Axle Silver 12 x 135mm
SR1D QR Front End Caps Black QR
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1D 12mm Rear End Caps Black 12mm
SR1D QR Rear End Caps Black QR
SR1D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-primavera-44-carbon-disc-wheelset,Shimano/SRAM HG,£539.99,wiggle
Prime Primavera 38 Carbon Rim Brake Wheelset,"Lightweight Rim
Prime has experimented with numerous types of resin and tested countless new lay ups before it settled on its new and improved Primavera 38 rim. But, that’s not all, the brand has upgraded to a higher grade of carbon, saving 40g per rim, and improving on the impact strength/weight ratio making the new Primavera 38 their best rim yet.
Wider = Improved Performance
The Prime Primavera 38 Carbon Wheelset features a 38mm deep aero rim profile to deliver benefits across multiple yaw angles. A wider rim profile creates a more linear contour with the tyre to increase the Primavera 38’s aerodynamic properties.
Greater Strength To Weight Ratio
Built up using the R010 CNC machined 7075 hubset and DT Swiss straight pull spokes the Prime Primavera 38 Carbon Wheelset creates a stiffer wheel with a greater strength to weight ratio and more reactivity.
Shave The Seconds
If you’re looking for an upgrade to shave the seconds away, the Prime Primavera 38 Carbon Wheelset is the wheelset you need to tame any terrain.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
Prime Carbon Brake Pads
Spares (available separately)
SR1 Front Axle Silver QR
SR1D QR Front End Caps Black QR
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1 Rear Axle Silver QR
SR1 Rear End Caps Black QR
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed
Prime Lifetime Crash Replacement Programme
At Prime we understand that a crash or unexpected accident may occur under normal riding conditions. If in the event of a fall or accident where your Prime product sustains damage beyond repair, you can return the damaged component in exchange for a new product at 40% off the RRP.",https://www.wiggle.com//p/prime-primavera-38-carbon-rim-brake-wheelset,Shimano/SRAM HG,£539.99,wiggle
Fulcrum Racing 6 Disc Road Wheelset,"Guaranteeing performance and reliability at a budget-friendly price, this road bike wheelset is fine-tuned for smooth performance wherever your ride takes you. Thanks to its hard-wearing aluminium rims, it provides excellent strength and durability as you clock up the miles. Fulcrum has also equipped this model with 24 stainless steel, straight-pull spokes and brass nipples for increased rigidity as you put the power down. Coming complete with sealed cartridge bearings, disc brake compatibility and a range of ride-enhancing technologies, this is a great choice for dependable performance at an affordable price.
The great versatility of these wheels, whether training or on road rides with a gravel bike, is ensured by the updated low profile 24mm aluminium rims and an inner rim channel of 20mm, with the 2 Way Fit system.
The technical specifications of the Racing 6 DB ensure that they excel in different situations, climbing as well as windy conditions, and they can also fit wider tyres, clincher or tubeless (tubeless tape installed and valves included).
2-Way Fit Technology
2-Way Fit profile for tubeless and clincher. Tubeless technology was first used by the auto industry, then by motorcycles and now has reached the cycling industry. After its debut with mountain bikes the moment has come to “put it on the road”, and that’s what Fulcrum propose to do. The brand has developed its 2-Way Fit technology to ensure the perfect compatibility of its tubeless rims with normal clincher types and tubes. 2-Way Fit road bike wheels are perfectly multipurpose for tackling every situation. Thanks to a special impression in the valve area, the tubes are fitted with maximum precision while keeping the tube perfectly stable inside the tyre. Housing the valve for tubeless tyres is also risk-free, with the unquestionable advantage that there are never any air infiltrations caused by non-ideal positioning when fitting.
AFS Axle System
The Axial Fixing System is the solution developed by Fulcrum to fix the disc brake to the hub. The constraint granted by the butt area of the release mechanism, greater than in familiar standard ones, makes it possible to obtain greater structural rigidity and therefore more precise and powerful braking.
F.I.C 100% Handmade Quality
Fulcrum Identification Card (F.I.C) 100%handemade quality. Right from its inception, Fulcrum has been marked by a feature that continues to this day: that is to design, prototype and industrialise all the wheels characterised by the red “F”. Indeed these take shape inside of the R&D, the leading-edge department that represents the beating heart of the Italian company. Every single component of the wheel, the materials chosen and the technologies applied are the tangible result of the effort that Fulcrum makes every day to give you maximum performance and reliability.
Additional Item Top Features:
Rims
Tyre Type: Clincher
Rim Height Category: Low
Tyre Size: 700c
Tyre Width: From 25mm to 50mm
Inner Rim Width (Channel): 20mm
ASTM Category: 2
Weight Limit: 120kg (system)
Spokes
Front Wheel Spokes: 24 (16 left - 8 right)
Rear Wheel Spokes: 24 (8 left - 16 right)
Spokes Material: Stainless Steel
Spokes Profile Technology: Rounded, Straight-pull
Nipples: Brass
Hubs
Front Hub: Aluminium, Aluminium flanges
Rear Hub: Aluminium, Aluminium flanges
Bearings: Sealed cartridge bearings
Freehub: Shimano HG11
Manufacturer’s Part Number:
FULCWF3960AP1A110 Black 700c Shimano 11sp",https://www.wiggle.com//p/fulcrum-racing-6-disc-road-wheelset,"Campagnolo 13sp, Shimano 11sp, SRAM XDR",£139.99 - £243.99,wiggle
Prime Primavera 50 Carbon Rim Brake Wheelset,"Lightweight Rim
Prime has experimented with numerous types of resin and tested countless new lay ups before it settled on its new and improved Primavera 50 rim. But, that’s not all, the brand has upgraded to a higher grade of carbon, saving precious grams, and improving on the impact strength/weight ratio making the new Primavera 50 their best rim yet.
Wider = Improved Performance
The Prime Primavera 50 Carbon Wheelset features a 50mm deep aero rim profile to provide strong aerodynamic properties by reducing the amount of turbulence when the air meets the spokes. The Primavera 50 combines this with a wider rim profile to create a more linear contour between the tyre and rim interface, reducing rolling resistance and creating a greater contact patch for greater stability in corners.
Greater Strength To Weight Ratio
Built-up using an SR1, CNC machined 6061 alloy hub body and DT Swiss spokes, the Prime Primavera 50 Carbon Wheelset creates a stiffer wheel with a greater strength to weight ratio and more reactivity. Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. Its Star Ratchet hub also provides superior reliability, due to each of the ratchets engaging simultaneously every time. Prime has also ensured that tool free freehub conversion is possible.
Crush The Competition
If you’re wanting to beat all your personal bests, the Prime Primavera 50 Carbon Wheelset has everything you need to conquer the climb or wreck the competition on the flats.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
Prime Carbon Brake Pads
Spares (available separately)
SR1 Front Axle Silver QR
SR1D QR Front End Caps Black QR
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1 Rear Axle Silver QR
SR1 Rear End Caps Black QR
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-primavera-50-carbon-rim-brake-wheelset,Shimano/SRAM HG,£599.99,wiggle
Fulcrum Wind 40c Clincher Road Wheelset,"Constructed to carry you through training rides and rapid races with power and pace, the excellent Fulcrum Wind 40c pushes its 40mm deep carbon rims to the limit to keep you rolling steadily and quickly for every rampant run.
Fast-Rolling Carbon Fibre Road Wheels
Featuring a special AC3 treated, 3K carbon braking surface, both rims on the Fulcrum Wind 40c Clincher Road Wheelset ensure a powerful stopping performance, giving consummate control as you ride at thrillingly high speeds. Spinning on a pair of aluminium hubs, the wheels also benefit from smooth spinning sealed cartridge bearings and strong straightpull spokes for a stiff and strong structure, however hard you ride.",https://www.wiggle.com//p/fulcrum-wind-40c-clincher-road-wheelset,Shimano/SRAM HG,£999.99,wiggle
Prime 343 Carbon Rear Disc Wheel,"This carbon disc rear wheel is stiff, strong and lightweight. It’s engineered to provide exceptional aerodynamic efficiency and gives you faster straight-line speeds and greater stability in all riding conditions. Plus, this wheel is tubeless-ready, which significantly reduces the risk of punctures, but that’s not all, the rolling resistance is lower and thanks to being able to use lower pressures, cornering grip is much better.",https://www.wiggle.com//p/prime-343-carbon-rear-disc-wheel,Shimano/SRAM HG,£489.99 - £699.99,wiggle
Fulcrum Racing 5 Disc Road Wheelset,"Ready for long days on the road, this wheelset is equipped with a hard-wearing aluminium rim construction, which offers an excellent combination of strength, durability and performance as you clock up the miles. Fulcrum has also kitted out this model with an asymmetric rim design that’s engineered to improve rim tension, balancing the forces from your disc brakes and sprocket cassette. Another highlight is its 24 rounded straight-pull stainless steel spokes, which ensure smooth and stable rolling performance as you go the extra distance. Coming complete with sealed cartridge bearings and many of the brand’s finest technologies including 2-Way Fit, this is a great choice of upgrade for low rolling resistance, increased grip and greater protection thanks to its tubeless compatible design.
Endurance Road Bike Wheelset
The Racing 5 DB wheels are the perfect choice for endurance bikes. The lower aerodynamic resistance and decreased stiffness, achieved with the lower 24mm U-shaped profile, makes them the ideal technical choice for long rides without having to worry about climbing, rain or wind, with a consequent saving in energy and increased comfort.
2 Way Fit Ready Technology
In this case to the aluminium rim has seen an increase in the inner channel width, up to 20mm from the previous model’s 17mm, and the addition of the innovative 2 Way Fit system, to comfortably fit 25-28 mm tyres, both clinchers and tubeless (tubeless tape installed and valves included).
Laser-Etched Graphics
The aesthetics have undergone the same intervention as the Racing 4 DB model, with the updated laser-etched graphics, ensuring the long life of their striking design.
Additional Item Top Features:
Tyre Size: 700c
Tyre Type: 2-Way Fit Ready (Clincher/Tubeless Ready)
Brake Compatibility: Disc brake, AFS
Spokes Material: Stainless Steel
Spokes Profile Technology: Rounded, straight pull
Front Wheel Spokes: 24 (Left: 16; Right: 8)
Rear Wheel Spokes: 24 (Left: 8; Right: 16)
Nipples Material: Aluminium
Hubs: Aluminium, Aluminium flanges
Bearings: Sealed cartridge bearings, adjustable
Freehub Compatibility: Multiple options available to select
Finish: Lasered + Stickers
Max System Weight Limit: 120kg
Technologies:
Anti-Rotation System: This new system raises the concept of spoking to a new level of performance for road bike and triathlon wheels ( and MTB too). The Fulcrum engineers have redesigned the spokes and the hub housings to create a solid and unmoveable whole. The result is that the spokes will never lose their initial tension, thus keeping the wheel perfectly reactive and centred. The spokes will remain in the position that has been studied in the wind tunnel tests to ensure the best aerodynamic penetration possible.
Fulcrum Identification Card (F.I.C.) 100% Handmade Quality: Right from its inception Fulcrum has been marked by a feature that continues to this day: that is to design, prototype and industrialise all the wheels characterised by the red “F”.
Indeed these take shape inside of the R&D, the leading-edge department that represents the beating heart of the Italian company. Every single component of the wheel, the materials chosen and the technologies applied are the tangible result of the effort that Fulcrum makes every day to give you maximum performance and reliability.
AFS Axle System: The Axial Fixing System is the solution developed by Fulcrum to fix the disc brake to the hub. The constraint granted by the butt area of the release mechanism, greater than in familiar standard ones, makes it possible to obtain greater structural rigidity and therefore more precise and powerful braking.
Asymmetric Rim: The asymmetry is designed to improve rim tension, balancing the forces from brakes and sprocket cassette.
2-Way Fit Ready: This procedure transforms Racing 5 DB wheels (designed to be used with a clincher tyre and inner tube) into tubeless ready wheels (i.e. with a Tubeless Easy tyre, no inner tube and compulsory use of a sealant liquid). Use of tubeless and tubeless ready tyres is forbidden on 2-way Fit Ready rims without official Fulcrum 2-way Fit Ready adhesive tape. This model comes with tubeless type installed and valves included.
Manufacturer’s Part Numbers:
FULCWF3970AP8A110 Black 700c
FULCWF3970AP1A110 Black 700c
FULCWF3970AP5A110 Black 700c",https://www.wiggle.com//p/fulcrum-racing-5-disc-road-wheelset,"Campagnolo N3W, Shimano/SRAM HG, SRAM XDR",£189.99 - £294.99,wiggle
Prime Attaquer  Disc Alloy Wheelset,"Ideally suited for hilly races, gravel and fast training rides, this wheelset comes equipped with two 6069 aluminium rims for the best balance of strength and durability on mixed terrains. Prime has also kitted out this updated model with a 21mm internal rim width and a 25mm rim depth for more balanced and consistent rolling performance. Another highlight is it’s tubeless ready, so you can enjoy tubeless advantages such as lower rolling resistance, improved traction and fewer chances of punctures.
Aerodynamic, Stiff and Reactive
With the use of DT Swiss straight pull spokes, not only is aerodynamics improved, the Prime Attaquer Disc Alloy Wheelset is also stiffer and more reactive, so if you’re in the market for a high-end alloy wheelset, look no further.
Star Ratchet Hubs
Another standout feature of this alloy road wheelset is its Star Rachet hubs. These provide superior reliability, due to each of the ratchets engaging simultaneously every time. Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. Tool-free freehub conversion is also possible.
Optimal Braking Performance
Disc brakes generate an incredible amount of stopping power, even in wet conditions, so you can fly up the hills and descend with confidence knowing that when you pair your favourite brakes to this set, you’re going to get the control you need to succeed. This model is Centre Lock disc brake mount compatible.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1D 12mm Front End Caps Black 12mm
SR1D 15mm Front End Caps Black 15mm
SR1D Front Axle Silver 12 x 135mm
SR1D QR Front End Caps Black QR
SR1D 12mm Rear End Caps Black 12mm
SR1D QR Rear End Caps Black QR
SR1D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-attaquer-disc-alloy-wheelset,Shimano/SRAM HG,£249.99,wiggle
Campagnolo Zonda C17 Wheelset,"The completely redesigned rim for the Campagnolo Zonda C17 road wheels takes its design inspiration from the growing trend that sees the use of increasingly wider tyres, with 25mm clinchers becoming the standard if not the new minimum sizing for road riding and racing. With this increased popularity of both 25mm and 28mm tyres, the wheel needs to be designed in a way to optimise the tyre/wheel interface.
The updated wider rim on the Campagnolo Zonda C17 wheelset ensures a more efficient shape of the tyre, improving cornering grip and safety while reducing aerodynamic drag and rolling resistance. This seemingly small increase in width offers a surprisingly different riding experience, one that is sure to leave any cyclist pleasantly convinced that this change is for the best. The C17 rim has also been structurally optimised and ensures a surefooted grip on clincher tyres, as well as even better braking, feel when compared with previous versions.",https://www.wiggle.com//p/campagnolo-zonda-c17-wheelset,"Campagnolo, Shimano/SRAM HG",£359.99 - £408.27,wiggle
Campagnolo Bora WTO 45 Wheelset,"The Campagnolo Bora WTO 45 features advanced carbon rims for unrivalled stiffness, lightness and handling ability when hitting top speeds on your road bike. Designed to provide maximum aerodynamic qualities, at particular angles, they harness the power of the wind to propel you to road-riding excellence.
Carbon Fibre Fast-Rolling Road Wheelset
The front wheel is equipped with 18 steel spokes and the rear has 21, with differing patterns allowing them to efficiently slice through the air. Measuring a 19mm internal rim width, 23mm, 25mm and 28mm tyres can be fitted to the Two-Way Fit Campagnolo Bora WTO 45 wheelset, which is compatible with tubeless and clincher tyres for ultimate versatility. An AC3 (All Conditions Carbon Control) treatment aids outstanding rim braking performance in all conditions, rounding out this superb set of aerodynamic racing wheels.
Included:

Special brake block kit for carbon wheels (red compound): 40% better braking performance in wet conditions and 20% better in dry.
Lightweight Quick Release wheels with an aerodynamic profile and shiny finish.
Tubeless valves with valve extenders
Bushing to reduce the size of the valve hole
2 levers in composite material for tyre removal
User manual",https://www.wiggle.com//p/campagnolo-bora-wto-45-wheelset,"Campagnolo, Shimano/SRAM HG","£1,699.68 - £2,005.99",wiggle
Fulcrum Racing 6 C17 Road Wheelset,"2:1 Two-To-One
Every push on the pedals from the rider will force most of that energy on the drive side of the rear wheel. To combat this loss of rim tension and power transfer, Fulcrum has solved this cycling problem with their 2:1 spoke ratio pattern by doubling the spoke count in crucial zones on the wheel.
Anti-Rotation System
This system locks the spoke in place once the correct tension is achieved. Engineers at Fulcrum have designed this system to ensure the spokes never lose their initial tension and to remain in the position that has been proven to provide the perfect aerodynamic properties.
Rim Dynamic Balance
Simple and Elegant, the weight of the rim gasket is balanced on the opposite side with an item of similar weight.",https://www.wiggle.com//p/fulcrum-racing-6-c17-road-wheelset,"Campagnolo, Shimano/SRAM HG",£129.99 - £159.99,wiggle
Campagnolo Shamal Ultra C17 2-Way Fit Wheelset,Born as the very first complete wheelset with each component in its build being specifically designed as a complete unit to ensure unparalleled efficiency and performance the Shamal continued to introduce new technologies that would change the way aluminum performance wheels were produced. So advanced was the Shamal in its early stages that it was found also in World Tour competition often and to this day is still perhaps the most race ready aluminum wheelset available.,https://www.wiggle.com//p/campagnolo-shamal-ultra-c17-2-way-fit-wheelset,Shimano/SRAM HG,"£951.99 - £1,053.99",wiggle
Campagnolo Bora Ultra 35 Clincher Wheelset,"The Campagnolo Bora Ultra 35 Wheelset features CULT Ceramic bearings, which provide extreme smoothness, the lowest friction coefficient thanks to oil lubrication and are 9 times more efficient than standard bearings and will spin for up to 47 minutes after being run at 500rpms.
Campagnolo engineering staff have developed a new construction that provides a braking performance superior to other carbon rims. The AC3 (All Condition Carbon Control) technology not only improves braking in the dry but boosts performance by 43% over past Campagnolo models and nearly 55% over that of its closest rivals when the roads get wet. Apart from the obvious textured braking surface the construction of the new Bora wheels also underwent internal improvement to ensure maximum integrity when faced with the increased force and heat deriving from the new braking surface.
One of the biggest changes and improvements to the Bora Ultra 35 Wheelset is the increased rim width, moving from 20.5 to 24.2 mm. This allows the Bora Ultra 35 Wheelset to improve its aerodynamic properties and house wider tyres, thus increasing the control and creating a more comfortable ride. The wider rim also contributes to an increase in structural strength, thus increasing the already lauded resistance and reliability of the Bora family.
The wider rim also contributes to an increase in structural strength, thus increasing the already lauded resistance and reliability of the Bora family. The benefits continue, as the wider rim creates a stronger structure with less need for material intended for structural reinforcement decreasing the overall weight of the wheel.
If you, like pros, want the very best on the market then look no further than the Campagnolo Bora Ultra 35 Wheelset.
In The Box

Carbon Brake Pad set (40% better braking performance in wet conditions and 20% in the dry)
New, re-designed quick-release skewers
Valve Extender
User Manual
Warranty Booklet
Campagnolo Wheel Identification Card",https://www.wiggle.com//p/campagnolo-bora-ultra-35-clincher-wheelset,No components found,"£2,699.99 - £2,718.99",wiggle
Campagnolo Bora WTO 60 Wheelset,"The Campagnolo Bora WTO 60 has been tested rigorously to allow for a new rim design that maximises aerodynamic penetration for those particularly sharp wind angles and downwind presses. With a hub that promotes airflow detachment and a spoke set-up (18-elliptical cross at front, 21-rear cross at rear) engineered to overcome rolling resistance, this is the perfect wheelset for those expecting to face tough conditions.
Aerodynamic Road Wheels with Advanced Stopping Power
With the implementation of AC3™ technology in the rim brake design of the Campagnolo Bora WTO 60 Wheelset, with years of research put into the durability and stopping power of the texture, you can be sure of a more reliable stop with this wheelset whether it’s wet or dry.
Included:

Special brake block kit for carbon wheels (red compound): 40% better braking performance in wet conditions and 20% better in dry
Lightweight Quick Release wheels with an aerodynamic profile and shiny finish
Tubeless valves with valve extenders
Bushing to reduce the size of the valve hole
2 levers in composite material for tyre removal
User manual",https://www.wiggle.com//p/campagnolo-bora-wto-60-wheelset,Campagnolo,"£1,795.75 - £1,899.65",wiggle
Campagnolo Bora Ultra 50 Clincher Wheelset,"The Campagnolo Bora Ultra 50 Wheelset features CULT Ceramic bearings, which provide extreme smoothness, the lowest friction coefficient thanks to oil lubrication and are 9 times more efficient than standard bearings and will spin for up to 47 minutes after being run at 500rpms.
Campagnolo engineering staff have developed a new construction that provides a braking performance superior to other carbon rims. The AC3 (All Condition Carbon Control) technology not only improves braking in the dry but boosts performance by 43% over past Campagnolo models and nearly 55% over that of its closest rivals when the roads get wet. Apart from the obvious textured braking surface the construction of the new Bora wheels also underwent internal improvement to ensure maximum integrity when faced with the increased force and heat deriving from the new braking surface.
![AC 3 Braking Surface](//s.wiggle.co.uk/images/Bora AC3 SMALL.jpg)
One of the biggest changes and improvements to the Bora Ultra 50 Wheelset is the increased rim width, moving from 20.5 to 24.2 mm. This allows the Bora Ultra 50 Wheelset to improve its aerodynamic properties and house wider tyres, thus increasing the control and creating a more comfortable ride. The wider rim also contributes to an increase in structural strength, thus increasing the already lauded resistance and reliability of the Bora family.
The wider rim also contributes to an increase in structural strength, thus increasing the already lauded resistance and reliability of the Bora family. The benefits continue, as the wider rim creates a stronger structure with less need for material intended for structural reinforcement decreasing the overall weight of the wheel.
If you’re looking for the complete pro package but don’t have the support car to ride tubular, the Campagnolo Bora Ultra 50 Clincher Wheelset has all the benefits you need to perform at your best.",https://www.wiggle.com//p/campagnolo-bora-ultra-50-clincher-wheelset,Shimano/SRAM HG,"£1,899.99 - £2,699.99",wiggle
Campagnolo Bora WTO 45 DB Wheelset,"A top choice for the podium-chasing time trial (TT) or triathlon racer, the Campagnolo Bora WTO 45 road bike wheels deliver excellent aerodynamic penetration from the streamlined design of their rims and hubs. Constructed from a responsive and rigid carbon layup, the 19mm width and vertically compliant 45mm depth ensure precise handling and efficient power transfer as you push yourself to your limits.
Carbon Fibre Aerodynamic Road Wheels
Equipped with Black Aluminium Monolithic hubs with USB ceramic cup and cone bearings, every rotation of the Campagnolo bora Bora WTO 45 DB wheels is super-smooth, giving you a consistent experience on every ride. Stunningly supportive to deal with the pressures and impacts of high-speed racing, the rear hub also comes with the choice of a Shimano, SRAM or Campagnolo freehub to suit your preferred drivetrain. Optimised for use with disc brakes to give unrivalled stopping power and control, this 2-Way Fit tubeless-ready wheelset sends you to silverware with speed and strength.
Included:
35 mm tubeless valve
35 mm valve extender
Bushing to reduce the size of the valve hole
2 levers in composite material for tyre removal
User manual",https://www.wiggle.com//p/campagnolo-bora-wto-45-db-wheelset,"Campagnolo, Shimano/SRAM HG","£1,795.75 - £1,808.99",wiggle
Campagnolo Bora WTO 33 Carbon Wheelset,"This Campagnolo Bora WTO 33 wheelset features two carbon fibre rims, which means that you’ll enjoy its incredible stiffness, without adding any excess weight to your ride. Designed for extreme performance, this wheelset also keeps you safe, thanks to its G3 spoking system. This ensures that you’ll always stay balanced when braking in all racing conditions.
Each component of these Campagnolo Bora WTO 33 Carbon Wheels has been optimised in the wind tunnel in order to improve their aerodynamic performance. This has resulted in multiple benefits that can be noted on different routes, from the most demanding of sprints to relaunching after a bend, while still ensuring efficiency on the flat and now also suitable for the hardest uphill finishes. It is a turning point in the all-rounder segment: a truly multi-purpose wheel.
With the carbon rims’ unidirectional aerodynamic finish, and the aluminium hubs with their ceramic USB cup-and-cone bearing system: every design choice has been made with a view to optimising performance. The 19mm internal diameter of the rim enables tyres of 23mm, 25mm and 28mm to be fitted. In addition, with this 2-Way Fit version, Campagnolo offers its tried-and-tested technology with full compatibility with clincher and tubeless tyres. While the key purpose of these wheels is to deliver extreme performance, safety is also guaranteed by the Campagnolo AC3 (All Conditions Carbon Control) technology, which ensures safe, modular braking in all weather conditions.
Included:

Special brake block kit for carbon wheels (red compound): 40% better braking performance in wet conditions and 20% better in dry.
Lightweight Quick Release wheels with an aerodynamic profile and shiny finish.
35 mm tubeless valve - 35 mm valve extender
Bushing to reduce the size of the valve hole
2 levers in composite material for tyre removal
User manual

Manufacturer Part Numbers:
Bright Label 700c Campagnolo: CPW523
Dark Label 700c Shimano: CPW523DA
Bright Label 700c Shimano: CPW523A
Dark Label 700c Campagnolo: CPW523D",https://www.wiggle.com//p/campagnolo-bora-wto-33-carbon-wheelset,"Campagnolo, Shimano/SRAM HG","£1,695.98 - £1,999.99",wiggle
